job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.indeed.com/viewjob?jk=3056be6635e78172,Indeed,Asset & Reporting Analyst - 6 months FTC,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Smart Metering Systems,
https://www.indeed.com/viewjob?jk=89d66ee4e60776ad,Indeed,Applications Support Developer (PHP),Glasgow G3 8EP,Full-Time,12 days ago,,,,Open link to read requirements.,Fleet Alliance,
https://www.indeed.com/viewjob?jk=c2d7c1cca4db87b1,Indeed,Asset & Reporting Analyst - 6 months FTC,Glasgow G2,Full-Time,6 days ago,,,,Open link to read requirements.,SMS,
https://www.indeed.com/viewjob?jk=7c46a73766732aa1,Indeed,Senior Data Analyst,Gourock PA19 1JA,Full-Time,8 days ago,,,,Open link to read requirements.,COPPER HUB LTD,
https://www.indeed.com/viewjob?jk=3f3510564d2602c4,Indeed,Senior Analyst - Performance Reporting,Glasgow,Full-Time,11 days ago,,,,Open link to read requirements.,Iberdrola Group,
https://www.indeed.com/viewjob?jk=473b949d98345348,Indeed,Application Consultant,Glasgow,Full-Time,12 days ago,,,,Open link to read requirements.,Iberdrola Group,
https://www.indeed.com/viewjob?jk=c14df352f7679667,Indeed,Business Analyst - Lending Tribe,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=f131c76ee1a7476f,Indeed,Assistant Vice President Chief Data Analytics Office - Business Analyst,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=9b00f9c770fc22e4,Indeed,Full Stack Developer,Glasgow,Full-Time,12 days ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=031688ad904d8d5a,Indeed,Senior Information Analyst,Stirling FK9 4SW,Full-Time,14 days ago,,,,Open link to read requirements.,NHS Scotland,
https://www.indeed.com/viewjob?jk=9c21585ede046b63,Indeed,Senior Technical Architect,Glasgow,Full-Time,5 days ago,,,,Open link to read requirements.,Student Loans Company,
https://www.indeed.com/viewjob?jk=c110dc9c3455c700,Indeed,Lead Software Engineer - Java,Glasgow G2,Full-Time,11 days ago,,,,Open link to read requirements.,JPMorganChase,
https://www.indeed.com/viewjob?jk=c6ad594f8ef23b8e,Indeed,AI Cloud Solution Engineer,Glasgow,Full-Time,12 days ago,,,,Open link to read requirements.,Morgan Stanley,
https://www.indeed.com/viewjob?jk=b112cdb8d1cc157b,Indeed,Test Automation Engineer,Glasgow,Full-Time,13 days ago,,,,Open link to read requirements.,Motorola Solutions,
https://www.indeed.com/viewjob?jk=d25cdaf6bfd69acb,Indeed,Systems Engineer,Glasgow,Full-Time,5 days ago,,,,Open link to read requirements.,Ericsson,
https://www.indeed.com/viewjob?jk=3fb1a9b0a365dc2b,Indeed,Senior Platforms Infrastructure Engineer,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Chemify Ltd,
