job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.linkedin.com/jobs/view/4410190747,LinkedIn,Data Analytics Engineer I,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Checkout.com,
https://www.linkedin.com/jobs/view/4399559318,LinkedIn,Analytics Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Multiverse,
https://www.linkedin.com/jobs/view/4420120956,LinkedIn,Data Analytics Engineer,"Basingstoke, England, UK",None,Recent,,,,Open target link to view core requirements.,Reassured,
https://www.linkedin.com/jobs/view/4422687933,LinkedIn,Marketing Analytics Engineer,"Greater London, England, UK",None,Recent,,,,Open target link to view core requirements.,Propel,
https://www.linkedin.com/jobs/view/4422935412,LinkedIn,Analytics Engineer,"Thames Ditton, England, UK",None,Recent,,,,Open target link to view core requirements.,SHL,
https://www.linkedin.com/jobs/view/4420140240,LinkedIn,"Data Engineer | Energy & Commodities Trading | Greenfield Data Transformation | £85,000 + Bonus & Benefits | Hybrid London","London Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,VirtueTech Recruitment Group,
https://www.linkedin.com/jobs/view/4423905545,LinkedIn,Data Engineer,"Buckinghamshire, England, UK",None,Recent,,,,Open target link to view core requirements.,La Fosse,
https://www.linkedin.com/jobs/view/4423949766,LinkedIn,Data Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Fasanara Capital,
https://www.linkedin.com/jobs/view/4419276445,LinkedIn,Data Engineer,"Basingstoke, England, UK",None,Recent,,,,Open target link to view core requirements.,idpp,
https://www.linkedin.com/jobs/view/4403974564,LinkedIn,Data Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,CUBE,
https://www.linkedin.com/jobs/view/4278528383,LinkedIn,Software/Data Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Prima,
https://www.linkedin.com/jobs/view/4413822723,LinkedIn,Data Engineer,"Greater London, England, UK",None,Recent,,,,Open target link to view core requirements.,Barchester Healthcare,
https://www.linkedin.com/jobs/view/4413421042,LinkedIn,Data Analyst,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Cisco,
https://www.linkedin.com/jobs/view/4420100817,LinkedIn,Data Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Haystack,
